_id,name,phone,salary,role,location,employeeId,managerId
123517,Sarah Johnson,024 3293532,117544,1,94016,436525,011135
123518,Sarah Brown,024 5032788,119039,4,02108,507602,011135
123519,Kwaku Johnson,024 8881145,89051,1,10001,130909,011135
123520,Jane Davis,024 7044137,89906,3,60601,587718,011135
123521,Kwaku Brown,024 8661211,82809,3,06101,710542,011135
123522,Kwame Johnson,024 5567930,105757,3,10001,691839,011135
123523,Kwame Davis,024 5808426,91473,5,10001,845555,011135
123524,Kwaku Doe,024 5223854,109638,4,60601,559293,011135
123525,Kwame Miller,024 4076098,87441,3,02108,676002,011135
123526,Jane Doe,024 4235470,110472,3,94016,634000,011135
123527,Sarah Williams,024 0241624,89125,4,94016,432418,011135
123528,Sarah Doe,024 6862001,81145,3,02108,933167,011135
123529,Sarah Davis,024 6156343,93239,3,60601,659739,011135
123530,Sarah Boafo,024 8789264,95118,5,02108,006052,011135
123531,Kwaku Smith,024 3549783,93009,3,94016,559301,011135
123532,Sarah Doe,024 4911142,83910,1,06101,361565,011135
123533,Kwame Johnson,024 9078594,81537,4,10001,889365,011135
123534,Sarah Boafo,024 4746317,98678,5,60601,018162,011135
123535,Jane Boafo,024 7023534,82064,5,60601,757143,011135
123536,Kwaku Williams,024 2789790,92803,4,60601,888049,011135
123537,Sarah Williams,024 2206669,85227,4,60601,479951,011135
123538,Kwame Doe,024 3987071,93887,2,02108,226920,011135
123539,Sarah Brown,024 6220180,85181,4,94016,995604,011135
123540,John Smith,024 1189989,81558,3,94016,391121,011135
123541,Kwabena Smith,024 8439898,107441,5,60601,832456,011135
123542,John Miller,024 3008466,110559,2,60601,781394,011135
123543,William Brown,024 1720152,116384,1,60601,772717,011135
123544,William Boafo,024 4133525,106784,2,02108,686971,011135
123545,Kwaku Williams,024 8722026,100511,1,60601,561861,011135
123546,William Johnson,024 7468021,112779,2,94016,755070,011135
123547,Sarah Brown,024 1004781,84971,5,10001,796126,011135
123548,Kwaku Doe,024 1114758,98807,5,06101,598473,011135
123549,Kwabena Davis,024 3755168,103367,5,10001,396021,011135
123550,Michael Davis,024 9605677,89401,5,94016,748020,011135
123551,Sarah Williams,024 8817829,115746,2,10001,918318,011135
123552,Kwaku Boafo,024 5705372,93258,4,60601,119227,011135
123553,Kwame Williams,024 9743137,98785,5,02108,387893,011135
123554,Jane Boafo,024 9399501,116299,3,06101,607085,011135
123555,Michael Smith,024 8761673,116367,2,60601,454097,011135
123556,Kwame Davis,024 4912206,103867,1,06101,465476,011135
123557,Kwaku Brown,024 1529587,89590,4,10001,770901,011135
123558,Sarah Johnson,024 4751253,117116,5,06101,396800,011135
123559,Kwame Doe,024 3902547,85047,3,94016,484422,011135
123560,John Williams,024 0035314,87667,1,94016,542236,011135
123561,Kwaku Doe,024 9284197,100406,5,94016,550569,011135
123562,Kwabena Johnson,024 3760633,104168,4,94016,856076,011135
123563,Jane Boafo,024 0941871,97495,2,94016,711564,011135
123564,Kwabena Doe,024 1733437,88302,2,02108,052002,011135
123565,Sarah Davis,024 4653931,102874,5,60601,258154,011135
123566,Kwabena Doe,024 0871606,112051,1,02108,270282,011135
123567,Michael Miller,024 4690746,113318,3,02108,739365,011135
123568,Jane Williams,024 9181428,102420,1,60601,781930,011135
123569,Kwame Williams,024 3076068,95394,4,06101,281349,011135
123570,Michael Smith,024 4970710,110530,4,10001,084517,011135
123571,Kwabena Brown,024 0067394,90220,4,06101,298506,011135
123572,Kwaku Boafo,024 3848273,111302,5,06101,453414,011135
123573,Kwabena Smith,024 6209321,92386,3,02108,155843,011135
123574,Jane Davis,024 0389482,117983,5,60601,440889,011135
123575,Michael Johnson,024 8468012,96092,3,94016,820958,011135
123576,Jane Doe,024 8780479,89790,2,10001,526446,011135
123577,John Brown,024 7780767,80547,3,06101,082367,011135
123578,Michael Boafo,024 7195366,86718,3,02108,316186,011135
123579,Kwabena Doe,024 2566547,118954,5,94016,057397,011135
123580,Sarah Williams,024 0137164,86423,5,02108,932913,011135
123581,Kwabena Miller,024 3328056,82998,4,60601,307723,011135
123582,Kwabena Miller,024 1352345,84206,1,94016,900187,011135
123583,Kwabena Johnson,024 2416493,100753,5,60601,047642,011135
123584,Michael Williams,024 8558787,97166,5,60601,475298,011135
123585,William Boafo,024 4844223,118311,4,06101,389256,011135
123586,Kwabena Boafo,024 5259632,88828,2,06101,568183,011135
123587,Michael Davis,024 6876596,115614,3,10001,208413,011135
123588,Kwame Smith,024 4046538,83918,2,06101,400743,011135
123589,Kwaku Doe,024 8097789,101392,4,60601,366717,011135
123590,Michael Miller,024 7336001,92075,3,10001,790930,011135
123591,Jane Miller,024 1179265,96241,1,06101,686423,011135
123592,John Smith,024 8606599,90236,1,60601,720421,011135
123593,Sarah Smith,024 9958391,80006,1,10001,124413,011135
123594,Kwaku Brown,024 0111553,111977,1,60601,746546,011135
123595,Michael Smith,024 6216553,93158,5,02108,159309,011135
123596,John Brown,024 3090700,99015,3,60601,904575,011135
123597,William Doe,024 8219991,80112,5,94016,046911,011135
123598,Michael Davis,024 5448629,116280,1,10001,612348,011135
123599,Michael Davis,024 4873779,80044,2,02108,975379,011135
123600,Kwaku Doe,024 9054003,95816,4,60601,813882,011135
123601,Kwabena Williams,024 2874074,80740,3,02108,916738,011135
123602,Jane Boafo,024 3356993,118530,2,94016,669119,011135
123603,William Brown,024 1631836,101156,2,10001,759242,011135
123604,Sarah Williams,024 4361893,85990,3,94016,597162,011135
123605,William Davis,024 2047256,97896,4,94016,904412,011135
123606,Kwaku Williams,024 3412283,109355,5,60601,717312,011135
123607,Kwame Davis,024 0304050,81654,2,06101,237652,011135
123608,John Brown,024 0271463,105376,2,60601,127142,011135
123609,Jane Boafo,024 5192254,108854,4,02108,789510,011135
123610,Jane Brown,024 0292902,103604,1,02108,429136,011135
123611,Sarah Johnson,024 7582691,119876,5,02108,612861,011135
123612,Kwabena Doe,024 1336950,105607,5,10001,453744,011135
123613,William Doe,024 4873911,100574,1,60601,427102,011135
123614,Sarah Brown,024 8627810,85435,1,10001,288078,011135
123615,Michael Davis,024 3984593,94638,5,10001,285931,011135
123616,Kwabena Davis,024 4595818,115361,4,06101,435867,011135
123617,Sarah Davis,024 0289237,89964,4,60601,755973,011135
123618,John Doe,024 4737043,99463,5,94016,606237,011135
123619,Michael Johnson,024 9283758,82757,1,06101,031947,011135
123620,Kwaku Williams,024 3535526,91888,4,06101,268171,011135
123621,Michael Williams,024 1951331,91838,5,94016,176689,011135
123622,Jane Brown,024 7040344,119454,4,06101,154824,011135
123623,Kwaku Smith,024 1193764,97810,1,10001,872044,011135
123624,William Johnson,024 8254050,91777,4,10001,430147,011135
123625,Kwame Davis,024 3329710,85389,2,02108,915042,011135
123626,Kwame Brown,024 8617300,97074,1,10001,900253,011135
123627,William Doe,024 2489200,105476,2,02108,832357,011135
123628,Sarah Brown,024 3832792,85225,4,10001,365150,011135
123629,Sarah Smith,024 6283930,83993,1,02108,699335,011135
123630,Kwame Johnson,024 4147279,84607,5,06101,459678,011135
123631,Jane Davis,024 9396838,99598,3,10001,005426,011135
123632,Kwame Miller,024 7163475,83350,5,60601,796867,011135
123633,Kwaku Smith,024 1073302,108548,1,10001,349619,011135
123634,Kwaku Brown,024 5863054,95912,2,10001,642415,011135
123635,Kwaku Doe,024 3149057,93038,5,60601,442558,011135
123636,Michael Johnson,024 0507845,81468,3,02108,606391,011135
123637,Kwame Davis,024 1337102,107482,5,94016,922391,011135
123638,William Williams,024 5477449,84449,3,06101,769662,011135
123639,John Smith,024 7050318,96531,1,10001,032643,011135
123640,Kwaku Doe,024 0304609,110198,2,94016,660835,011135
123641,John Johnson,024 2871546,111667,5,60601,001724,011135
123642,Michael Johnson,024 5655460,98296,3,10001,360372,011135
123643,Kwabena Smith,024 0506439,102088,1,06101,497099,011135
123644,William Williams,024 7022409,84327,1,02108,498095,011135
123645,Jane Doe,024 2698959,112059,1,10001,767303,011135
123646,William Brown,024 9944923,90746,5,10001,122797,011135
123647,Kwaku Smith,024 4788860,98605,4,06101,563249,011135
123648,Sarah Miller,024 8571619,105309,1,02108,965421,011135
123649,Kwame Doe,024 7149610,104318,5,02108,800080,011135
123650,Kwaku Boafo,024 6028564,114236,5,94016,607510,011135
123651,William Williams,024 6885693,95552,4,06101,408240,011135
123652,Sarah Doe,024 4621090,84102,3,02108,362381,011135
123653,Jane Doe,024 1373106,85792,5,60601,187308,011135
123654,Michael Doe,024 1558650,103926,5,06101,973456,011135
123655,Kwabena Smith,024 1272935,86281,1,10001,880502,011135
123656,Kwaku Johnson,024 1572349,102326,3,10001,874691,011135
123657,Kwabena Doe,024 2449564,83546,3,06101,740487,011135
123658,John Boafo,024 1559105,105879,4,60601,496283,011135
123659,Kwaku Doe,024 7062901,91660,2,06101,305015,011135
123660,Michael Brown,024 6442264,102354,4,06101,517722,011135
123661,Kwabena Williams,024 6591369,109274,2,94016,613611,011135
123662,Jane Doe,024 5014886,113833,3,60601,657048,011135
123663,William Miller,024 9682244,83096,4,02108,403425,011135
123664,Kwame Williams,024 1870749,109217,4,06101,546757,011135
123665,Kwaku Davis,024 6767162,114420,4,10001,297728,011135
123666,William Boafo,024 0507897,102337,2,06101,474386,011135
123667,Kwame Brown,024 4927444,89329,3,10001,492195,011135
123668,Kwabena Miller,024 3252580,84975,2,94016,658585,011135
123669,Jane Boafo,024 3741731,116434,1,02108,701344,011135
123670,Kwaku Miller,024 0567523,103984,3,60601,127997,011135
123671,Kwame Miller,024 7348925,96127,1,60601,893093,011135
123672,Jane Boafo,024 3090960,96635,1,02108,588613,011135
123673,John Williams,024 2358289,86761,4,02108,178112,011135
123674,Kwabena Davis,024 9393015,107580,2,94016,840990,011135
123675,William Smith,024 2629817,89553,4,94016,962479,011135
123676,Kwabena Smith,024 3651062,103411,3,94016,423689,011135
123677,Kwame Williams,024 9153886,110613,5,06101,406306,011135
123678,Kwaku Davis,024 1345199,81813,2,94016,510060,011135
123679,Sarah Johnson,024 4476960,110994,1,60601,887743,011135
123680,John Brown,024 8054310,102129,4,94016,079013,011135
123681,Sarah Brown,024 8245579,114742,2,06101,488655,011135
123682,Jane Johnson,024 4092212,101252,5,60601,695009,011135
123683,John Brown,024 6380394,118551,1,94016,419804,011135
123684,Michael Doe,024 3418792,118984,1,60601,354501,011135
123685,Kwaku Miller,024 3242988,110264,5,02108,542548,011135
123686,William Davis,024 4126921,101063,1,94016,602288,011135
123687,William Davis,024 7116201,97651,2,06101,862051,011135
123688,John Boafo,024 9133080,107244,1,60601,802755,011135
123689,William Boafo,024 7868374,118116,1,02108,605149,011135
123690,William Boafo,024 0041312,84374,1,10001,781640,011135
123691,Kwame Boafo,024 3168621,91436,3,60601,062531,011135
123692,Kwame Brown,024 4997445,113988,3,94016,906746,011135
123693,John Doe,024 4269959,97313,3,02108,290845,011135
123694,Jane Doe,024 7634057,93739,4,02108,401018,011135
123695,Michael Williams,024 1993097,81769,5,10001,484603,011135
123696,Michael Miller,024 8702739,95332,3,10001,516170,011135
123697,Kwame Doe,024 2186378,91980,1,06101,761727,011135
123698,William Smith,024 3346760,80826,3,02108,445348,011135
123699,William Doe,024 7470753,92302,1,02108,194670,011135
123700,Jane Williams,024 8552164,109806,2,60601,814803,011135
123701,William Boafo,024 4459535,87718,1,10001,324608,011135
123702,John Brown,024 2025391,112878,4,02108,559451,011135
123703,William Miller,024 0745849,92258,5,94016,041826,011135
123704,William Brown,024 8641479,80763,5,94016,235521,011135
123705,Sarah Williams,024 2806142,94177,5,94016,846697,011135
123706,Kwame Johnson,024 2014445,85467,2,02108,394274,011135
123707,Michael Brown,024 8404702,100364,4,94016,518051,011135
123708,William Williams,024 1687928,107734,2,10001,044148,011135
123709,Jane Brown,024 7885990,118798,5,10001,621523,011135
123710,Kwaku Smith,024 1743344,99819,1,02108,082012,011135
123711,Michael Doe,024 2808581,105276,1,02108,302958,011135
123712,John Smith,024 5895294,103290,5,94016,508937,011135
123713,Michael Davis,024 9581391,93822,2,60601,559863,011135
123714,Kwabena Miller,024 5566556,86459,1,94016,684770,011135
123715,Kwame Boafo,024 1980269,81844,4,02108,405755,011135
123716,Kwaku Johnson,024 1830341,100376,4,10001,040290,011135
123717,Kwame Smith,024 3484624,111938,4,60601,048858,011135
123718,Jane Smith,024 8273184,87586,2,60601,974406,011135
123719,John Doe,024 3156417,92204,1,06101,567203,011135
123720,Kwabena Miller,024 6847387,101355,5,06101,089876,011135
123721,William Boafo,024 8475560,111240,2,06101,753239,011135
123722,Michael Davis,024 8697580,106438,1,06101,572522,011135
123723,Michael Williams,024 5355002,104330,4,94016,067000,011135
123724,William Williams,024 9376779,114675,4,60601,360907,011135
123725,John Smith,024 7343632,88223,4,02108,078247,011135
123726,Kwabena Miller,024 9284115,102053,2,06101,580803,011135
123727,Jane Doe,024 6157801,103410,2,10001,105873,011135
123728,Kwaku Johnson,024 6995196,113307,3,10001,540145,011135
123729,Kwabena Smith,024 0333871,107460,4,94016,748266,011135
123730,Kwabena Doe,024 0100456,93648,5,60601,205718,011135
123731,Jane Miller,024 2134814,104761,1,60601,915629,011135
123732,William Johnson,024 8783118,92808,3,02108,124844,011135
123733,Kwame Doe,024 7953476,102953,3,94016,991699,011135
123734,John Miller,024 2234314,115691,3,06101,531420,011135
123735,Jane Boafo,024 3533209,88107,3,60601,944214,011135
123736,John Doe,024 1073475,89252,5,60601,665039,011135
123737,Jane Johnson,024 6048455,107942,5,06101,609998,011135
123738,Kwabena Johnson,024 0867420,104667,1,94016,841076,011135
123739,Kwabena Doe,024 1686295,106249,1,60601,120849,011135
123740,Kwaku Boafo,024 0417307,95946,4,10001,137961,011135
123741,William Brown,024 0451927,95079,3,60601,472909,011135
123742,Kwame Miller,024 6922902,109772,1,60601,692061,011135
123743,Kwaku Williams,024 8415123,102436,3,60601,890569,011135
123744,Kwabena Johnson,024 0490560,117181,5,60601,097102,011135
123745,Sarah Brown,024 1853122,80517,4,06101,912334,011135
123746,Kwaku Johnson,024 7306926,91779,5,02108,641025,011135
123747,Kwabena Boafo,024 5888183,89552,5,02108,722404,011135
123748,Kwame Smith,024 8096831,82856,4,10001,928434,011135
123749,Sarah Doe,024 1616525,102187,3,10001,063092,011135
123750,Michael Doe,024 8572903,80854,3,60601,668641,011135
123751,Jane Davis,024 5700560,118871,5,10001,897847,011135
123752,Sarah Johnson,024 3532622,115851,2,02108,050234,011135
123753,Kwabena Doe,024 8870655,84085,2,94016,717090,011135
123754,Jane Johnson,024 7538061,103937,3,06101,277120,011135
123755,Michael Johnson,024 3600576,93348,2,94016,135823,011135
123756,Michael Miller,024 9854920,84543,2,06101,842277,011135
123757,Kwabena Davis,024 6751589,107054,3,10001,292131,011135
123758,John Williams,024 2866065,84581,4,10001,011205,011135
123759,Sarah Davis,024 9878684,101952,4,06101,097816,011135
123760,Jane Boafo,024 6193925,115395,5,10001,484962,011135
123761,Kwaku Williams,024 0698892,109652,2,10001,913244,011135
123762,Michael Davis,024 9870929,102659,1,10001,894984,011135
123763,Kwabena Davis,024 1689544,87769,2,10001,476175,011135
123764,William Smith,024 9468953,113645,4,60601,547805,011135
123765,Kwaku Boafo,024 0426437,95502,4,10001,594258,011135
123766,William Johnson,024 2337201,92232,2,10001,597025,011135
123767,William Williams,024 1224606,87628,3,10001,305995,011135
123768,Kwabena Davis,024 8819655,101102,3,02108,798385,011135
123769,Jane Johnson,024 7290253,116789,3,02108,006658,011135
123770,John Miller,024 5693281,109543,1,94016,620186,011135
123771,Kwaku Boafo,024 3727234,98252,2,94016,639999,011135
123772,John Smith,024 6079435,86703,3,94016,923862,011135
123773,Kwabena Davis,024 5838108,107603,2,10001,422466,011135
123774,Michael Doe,024 5494553,94438,3,02108,826514,011135
123775,Michael Davis,024 6718300,90023,4,02108,548666,011135
123776,William Smith,024 4286515,117865,3,06101,421569,011135
123777,Kwaku Doe,024 6597751,100651,1,94016,354521,011135
123778,Michael Miller,024 4544510,113170,3,94016,209529,011135
123779,Kwaku Williams,024 5043711,108903,3,10001,410248,011135
123780,Sarah Boafo,024 8460136,119526,3,60601,125916,011135
123781,John Johnson,024 7039116,106411,5,02108,823463,011135
123782,William Miller,024 6447031,84758,3,10001,245782,011135
123783,Kwabena Brown,024 6769887,110052,2,02108,454886,011135
123784,Kwaku Boafo,024 0766210,104558,4,06101,605314,011135
123785,Kwabena Miller,024 4829708,87430,5,94016,923449,011135
123786,Jane Smith,024 6663507,83669,3,06101,240208,011135
123787,Michael Johnson,024 2357961,83764,2,02108,905370,011135
123788,Kwabena Doe,024 1632027,114255,2,06101,418803,011135
123789,Sarah Doe,024 5412605,92102,1,60601,328481,011135
123790,Sarah Smith,024 7355353,90560,5,06101,174115,011135
123791,Michael Davis,024 6992637,108864,2,02108,596633,011135
123792,Jane Boafo,024 3588798,99585,4,10001,376782,011135
123793,Kwabena Johnson,024 7666510,117684,1,10001,627913,011135
123794,Jane Doe,024 1724938,105011,3,10001,492107,011135
123795,William Davis,024 3774585,100892,2,02108,241911,011135
123796,Kwaku Williams,024 5735292,100275,5,94016,655021,011135
123797,Jane Boafo,024 5142066,111216,4,94016,275896,011135
123798,John Boafo,024 5497663,108717,3,60601,914184,011135
123799,Kwaku Boafo,024 4476289,117726,5,94016,063646,011135
123800,Kwame Williams,024 6370927,80221,5,02108,878507,011135
123801,Kwabena Davis,024 3226279,109571,4,02108,518664,011135
123802,John Miller,024 7540158,82130,4,94016,437015,011135
123803,Sarah Williams,024 3359342,100632,4,02108,564858,011135
123804,Sarah Brown,024 4457494,104045,2,10001,275903,011135
123805,William Davis,024 2173816,119571,4,60601,624901,011135
123806,Michael Johnson,024 2634092,99386,5,60601,742747,011135
123807,Kwame Davis,024 3460559,86071,3,60601,514492,011135
123808,William Williams,024 8781368,82679,2,06101,649079,011135
123809,William Smith,024 5669527,93345,4,02108,496119,011135
123810,Jane Williams,024 1044044,80263,4,02108,891224,011135
123811,Kwaku Boafo,024 7728230,107878,5,10001,702025,011135
123812,Michael Smith,024 8052129,88293,3,60601,899404,011135
123813,William Johnson,024 7306413,80342,3,02108,322710,011135
123814,Kwabena Boafo,024 3449833,110228,5,60601,111890,011135
123815,Kwabena Davis,024 0898075,90751,3,60601,927757,011135
123816,Kwabena Brown,024 1603875,114429,2,06101,521325,011135
123817,Kwame Johnson,024 4726094,81508,3,94016,774315,011135
123818,William Johnson,024 3065652,119673,3,06101,935605,011135
123819,Kwabena Smith,024 5530073,112940,4,02108,722988,011135
123820,Jane Johnson,024 5455850,97014,4,10001,496383,011135
123821,Kwabena Smith,024 9037676,102483,4,02108,242185,011135
123822,John Brown,024 5548700,81941,1,94016,321433,011135
123823,Kwaku Doe,024 1744478,87747,5,02108,828644,011135
123824,Jane Smith,024 5622709,101346,5,94016,135498,011135
123825,Michael Boafo,024 0708319,109783,2,06101,700342,011135
123826,Michael Boafo,024 4298825,103125,1,02108,275592,011135
123827,William Miller,024 4460253,116570,1,60601,288192,011135
123828,Sarah Davis,024 3807717,110438,1,10001,249933,011135
123829,Kwabena Johnson,024 4788040,99246,1,02108,830250,011135
123830,Jane Doe,024 0293119,88579,4,60601,727747,011135
123831,Sarah Johnson,024 9447797,100990,3,02108,289822,011135
123832,Kwaku Smith,024 1847812,95357,5,10001,828220,011135
123833,Kwabena Smith,024 0569574,101518,1,60601,867514,011135
123834,Kwabena Doe,024 7718482,100563,5,02108,896722,011135
123835,Kwabena Smith,024 5984718,104876,4,02108,552984,011135
123836,Kwabena Johnson,024 4009410,107556,4,10001,770585,011135
123837,Sarah Smith,024 2312504,93751,1,10001,916746,011135
123838,Kwabena Williams,024 8320631,81564,5,02108,123161,011135
123839,Michael Smith,024 6298313,105543,5,60601,103231,011135
123840,Kwame Miller,024 5475057,116725,3,02108,378546,011135
123841,Kwame Boafo,024 8059449,108101,3,10001,521188,011135
123842,Kwame Davis,024 6412933,91809,5,06101,918166,011135
123843,William Smith,024 1692002,84044,5,10001,376593,011135
123844,William Miller,024 1506652,88040,3,60601,420777,011135
123845,Sarah Johnson,024 9809783,110189,4,06101,766204,011135
123846,Kwame Davis,024 2575391,107419,2,10001,624722,011135
123847,Kwaku Smith,024 2412711,99360,4,10001,800939,011135
123848,Kwabena Smith,024 9271687,98468,4,60601,379692,011135
123849,Jane Boafo,024 3563729,97736,1,60601,097403,011135
123850,William Boafo,024 8251988,91543,1,10001,568373,011135
123851,Jane Brown,024 8503865,105726,2,60601,844159,011135
123852,Kwabena Davis,024 5724365,114859,1,60601,494757,011135
123853,William Williams,024 9680026,119143,4,60601,929649,011135
123854,Michael Brown,024 0717202,112847,4,10001,560872,011135
123855,John Davis,024 8483487,86284,3,10001,556509,011135
123856,William Smith,024 7655758,86986,1,60601,521485,011135
123857,John Boafo,024 8800149,118915,5,94016,495072,011135
123858,William Boafo,024 8428285,89875,5,60601,767566,011135
123859,William Miller,024 5887838,92000,2,94016,969817,011135
123860,Sarah Davis,024 6141237,80626,5,94016,169945,011135
123861,Kwame Miller,024 9623701,111295,2,06101,303952,011135
123862,Kwaku Miller,024 5610829,92643,4,10001,700909,011135
123863,Jane Davis,024 6383399,94615,5,06101,485165,011135
123864,Kwabena Johnson,024 4591513,100886,2,94016,016811,011135
123865,William Boafo,024 7087890,118030,4,02108,533485,011135
123866,John Williams,024 9040101,83332,4,06101,440789,011135
123867,Sarah Smith,024 5459967,86150,1,10001,767157,011135
123868,Michael Smith,024 9457625,84838,3,02108,147482,011135
123869,Michael Boafo,024 0289430,81606,3,94016,474459,011135
123870,John Williams,024 5706231,93893,2,02108,738095,011135
123871,Jane Smith,024 3790500,115120,2,06101,562438,011135
123872,Kwabena Johnson,024 3018145,88413,4,94016,064059,011135
123873,John Davis,024 4180650,93972,4,06101,647483,011135
123874,Sarah Johnson,024 0799486,101093,1,02108,473030,011135
123875,Sarah Boafo,024 6640496,83617,5,94016,004741,011135
123876,Michael Boafo,024 3616013,81086,5,02108,010187,011135
123877,Kwaku Doe,024 9479861,118368,3,94016,903597,011135
123878,Kwame Williams,024 2654472,109582,5,60601,166160,011135
123879,Michael Johnson,024 3518401,80011,5,02108,475524,011135
123880,John Davis,024 7551577,84399,2,94016,951646,011135
123881,Kwabena Brown,024 9660357,113049,1,02108,488079,011135
123882,Kwabena Smith,024 7010418,102134,5,94016,439504,011135
123883,Jane Johnson,024 4115620,110157,1,02108,207650,011135
123884,Sarah Brown,024 8075675,105764,1,02108,139443,011135
123885,John Johnson,024 4995758,95278,4,94016,278969,011135
123886,Jane Smith,024 3228712,114687,1,10001,599885,011135
123887,Sarah Davis,024 6494973,100097,4,06101,996306,011135
123888,Kwaku Davis,024 3414456,97194,1,02108,042453,011135
123889,Sarah Johnson,024 7222780,110000,3,60601,304368,011135
123890,William Williams,024 4254281,109206,1,94016,143008,011135
123891,John Davis,024 1420183,106322,4,60601,185105,011135
123892,Kwame Boafo,024 1726559,102510,1,94016,402709,011135
123893,Jane Williams,024 6728768,93457,5,60601,910966,011135
123894,Sarah Davis,024 8773961,113222,3,94016,623731,011135
123895,Jane Johnson,024 0697188,96240,3,06101,928062,011135
123896,Kwaku Johnson,024 3366744,94775,1,10001,086458,011135
123897,Michael Doe,024 5313860,92843,4,06101,142250,011135
123898,Kwame Brown,024 7452874,109661,2,02108,030748,011135
123899,Kwame Williams,024 7946215,96011,1,10001,132963,011135
123900,Sarah Johnson,024 3791712,100278,2,60601,241614,011135
123901,John Miller,024 9753668,117886,3,94016,798224,011135
123902,Sarah Miller,024 6095746,88680,2,06101,995180,011135
123903,Michael Davis,024 4664057,89426,4,02108,521058,011135
123904,Kwaku Smith,024 1396135,90808,2,06101,600505,011135
123905,Kwabena Davis,024 1777513,106915,2,60601,870294,011135
123906,John Smith,024 5478423,107462,1,10001,061245,011135
123907,Michael Smith,024 0926035,109838,2,06101,915078,011135
123908,Jane Doe,024 0077140,104673,1,06101,577449,011135
123909,Jane Johnson,024 7869981,90667,5,60601,938112,011135
123910,Kwame Boafo,024 4129345,96717,5,06101,341742,011135
123911,Kwabena Smith,024 4975805,89021,4,02108,861622,011135
123912,William Williams,024 4640436,112680,4,10001,747256,011135
